origin,airline,weekday,duration(min),dep_minutes,route_weekday,pred_price
BRU,VY,Friday,124,1315.0,BRU_Friday,90.627174
BRU,VY,Friday,125,580.0,BRU_Friday,92.078354
BRU,VY,Friday,125,1030.0,BRU_Friday,91.50674
BRU,UX,Friday,350,645.0,BRU_Friday,108.97989
BRU,UX,Friday,1300,1135.0,BRU_Friday,114.88506
BRU,AZ,Friday,955,1135.0,BRU_Friday,125.0781
BRU,AZ,Friday,1260,1135.0,BRU_Friday,124.32775
BRU,LX,Friday,220,920.0,BRU_Friday,145.39359
BRU,LX,Friday,245,600.0,BRU_Friday,149.48914
BRU,LX,Friday,300,1080.0,BRU_Friday,153.42465
BRU,IB,Saturday,120,910.0,BRU_Saturday,90.29302
BRU,IB,Saturday,124,1315.0,BRU_Saturday,91.354164
BRU,IB,Saturday,125,580.0,BRU_Saturday,92.77695
BRU,VY,Saturday,120,910.0,BRU_Saturday,89.45883
BRU,VY,Saturday,124,1315.0,BRU_Saturday,90.71521
BRU,VY,Saturday,125,580.0,BRU_Saturday,92.21787
BRU,UX,Saturday,350,645.0,BRU_Saturday,109.27059
BRU,AZ,Saturday,700,695.0,BRU_Saturday,127.15808
BRU,AZ,Saturday,955,1135.0,BRU_Saturday,124.07515
BRU,AZ,Saturday,1260,1135.0,BRU_Saturday,123.90784
BRU,AZ,Saturday,1395,695.0,BRU_Saturday,125.170204
BRU,SN,Saturday,120,735.0,BRU_Saturday,119.76963
BRU,SN,Saturday,120,1105.0,BRU_Saturday,119.11386
BRU,UX,Saturday,1300,1135.0,BRU_Saturday,115.86984
BRU,TP,Saturday,350,1075.0,BRU_Saturday,144.04317
BRU,IB,Sunday,120,910.0,BRU_Sunday,90.20499
BRU,IB,Sunday,124,1315.0,BRU_Sunday,91.26613
BRU,IB,Sunday,125,580.0,BRU_Sunday,92.63743
BRU,IB,Sunday,125,1020.0,BRU_Sunday,92.14569
BRU,VY,Sunday,120,910.0,BRU_Sunday,89.3708
BRU,VY,Sunday,124,1315.0,BRU_Sunday,90.627174
BRU,VY,Sunday,125,580.0,BRU_Sunday,92.078354
BRU,VY,Sunday,125,1020.0,BRU_Sunday,91.50674
BRU,AZ,Sunday,955,1135.0,BRU_Sunday,122.69384
BRU,AZ,Sunday,1260,1135.0,BRU_Sunday,122.52655
BRU,UX,Sunday,350,645.0,BRU_Sunday,110.21155
BRU,SN,Sunday,120,735.0,BRU_Sunday,120.42642
BRU,SN,Sunday,120,1105.0,BRU_Sunday,119.822136
BRU,A3,Sunday,885,1180.0,BRU_Sunday,140.57271
BRU,A3,Sunday,1290,1180.0,BRU_Sunday,135.98242
BRU,IB,Monday,120,910.0,BRU_Monday,89.98551
BRU,IB,Monday,124,1315.0,BRU_Monday,91.14679
BRU,IB,Monday,125,580.0,BRU_Monday,92.41795
BRU,IB,Monday,125,1030.0,BRU_Monday,91.926216
BRU,VY,Monday,120,910.0,BRU_Monday,89.15132
BRU,VY,Monday,124,1315.0,BRU_Monday,90.507835
BRU,VY,Monday,125,580.0,BRU_Monday,91.85888
BRU,VY,Monday,125,1030.0,BRU_Monday,91.28726
BRU,UX,Monday,350,645.0,BRU_Monday,108.760414
BRU,UX,Monday,1300,1135.0,BRU_Monday,114.66559
BRU,AZ,Monday,955,1135.0,BRU_Monday,122.474365
BRU,AZ,Monday,1260,1135.0,BRU_Monday,122.307076
BRU,SN,Monday,120,735.0,BRU_Monday,122.88588
BRU,SN,Monday,120,1105.0,BRU_Monday,122.28159
BRU,A3,Monday,885,1180.0,BRU_Monday,140.16293
BRU,IB,Tuesday,120,910.0,BRU_Tuesday,90.20499
BRU,IB,Tuesday,124,1315.0,BRU_Tuesday,91.26613
BRU,IB,Tuesday,125,580.0,BRU_Tuesday,92.63743
BRU,VY,Tuesday,120,910.0,BRU_Tuesday,89.3708
BRU,VY,Tuesday,124,1315.0,BRU_Tuesday,90.627174
BRU,VY,Tuesday,125,580.0,BRU_Tuesday,92.078354
BRU,UX,Tuesday,350,645.0,BRU_Tuesday,108.97989
BRU,AZ,Tuesday,700,695.0,BRU_Tuesday,126.511734
BRU,AZ,Tuesday,955,1135.0,BRU_Tuesday,122.69384
BRU,AZ,Tuesday,1260,1135.0,BRU_Tuesday,122.52655
BRU,TP,Tuesday,675,360.0,BRU_Tuesday,148.44197
BRU,TP,Tuesday,465,360.0,BRU_Tuesday,145.81557
BRU,LX,Tuesday,220,920.0,BRU_Tuesday,145.83989
BRU,LX,Tuesday,245,600.0,BRU_Tuesday,150.7092
BRU,LX,Tuesday,300,1080.0,BRU_Tuesday,155.02936
